COD_POSTAL;Average Gross Income;Average Disposable Income
08001;22359,00;18546,00
08002;29295,00;23450,00
08003;29406,00;23543,00
08004;27702,00;22570,00
08005;40503,00;31355,00
08006;56343,00;42200,00
08007;56142,00;42485,00
08008;60722,00;45579,00
08009;47417,00;36245,00
08010;49965,00;37953,00
08011;39213,00;30638,00
08012;37220,00;29123,00
08013;35493,00;28037,00
08014;33218,00;26473,00
08015;36206,00;28632,00
08016;26378,00;21906,00
08017;95299,00;69289,00
08018;35323,00;27915,00
08019;33860,00;26784,00
08020;27696,00;22865,00
08021;79850,00;58661,00
08022;65417,00;49031,00
08023;43669,00;33759,00
08024;35889,00;28396,00
08025;34773,00;27555,00
08026;31584,00;25326,00
08027;30812,00;24952,00
08028;36724,00;28989,00
08029;43546,00;33713,00
08030;31217,00;25238,00
08031;29215,00;23851,00
08032;29415,00;23952,00
08033;21688,00;18518,00
08034;85816,00;63120,00
08035;33539,00;26766,00
08036;45181,00;34886,00
08037;46423,00;35989,00
08038;27901,00;22922,00
08041;32966,00;26356,00
08042;25505,00;21345,00
Others;29424,00;23246,00
08901;29061,00;23700,00
08902;28535,00;23265,00
08903;24284,00;20276,00
08904;23144,00;19413,00
08905;21170,00;18226,00
08906;23346,00;19784,00
08907;25881,00;21694,00
08908;30266,00;24384,00
Others;23643,00;19759,00
